INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../utils.cpp in debug mode
   Generating csim.exe
Beginning HLS  simulation...
simulation complete!

Output feature[19681]: Expected: 0.462407	Actual: 0.462407
Output feature[19761]: Expected: -0.554361	Actual: -0.554361
Output feature[19841]: Expected: 0.356398	Actual: 0.356398
Output feature[19921]: Expected: -0.820417	Actual: -0.820417
Output feature[20001]: Expected: -0.705379	Actual: -0.705379
Output feature[20081]: Expected: -0.331197	Actual: -0.331197
Output feature[20161]: Expected: -0.606738	Actual: -0.606738
Output feature[20241]: Expected: -0.580768	Actual: -0.580768
Output feature[20321]: Expected: 0.170648	Actual: 0.170648
Output feature[20401]: Expected: -0.311428	Actual: -0.311428
Output feature[20481]: Expected: -0.243942	Actual: -0.243942
Output feature[20561]: Expected: -0.522612	Actual: -0.522612
Output feature[20641]: Expected: -0.323535	Actual: -0.323535
Output feature[20721]: Expected: -0.344957	Actual: -0.344957
Output feature[20801]: Expected: -0.122112	Actual: -0.122112
Output feature[20881]: Expected: -0.027282	Actual: -0.0272819
Output feature[20961]: Expected: -0.829867	Actual: -0.829867
Output feature[21041]: Expected: -0.470586	Actual: -0.470586
Output feature[21121]: Expected: -0.851755	Actual: -0.851755
Output feature[21201]: Expected: -1.24132	Actual: -1.24132
Output feature[21281]: Expected: -0.589892	Actual: -0.589892
Output feature[21361]: Expected: -0.74891	Actual: -0.74891
Output feature[21441]: Expected: -0.503822	Actual: -0.503822
Output feature[21521]: Expected: -0.597721	Actual: -0.597721
Output feature[21601]: Expected: -0.920696	Actual: -0.920696
Output feature[21681]: Expected: -0.238209	Actual: -0.238209
Output feature[21761]: Expected: -0.23217	Actual: -0.23217
Output feature[21841]: Expected: 0.281194	Actual: 0.281194
Output feature[21921]: Expected: -0.628732	Actual: -0.628732
Output feature[22001]: Expected: -0.657484	Actual: -0.657484
Output feature[22081]: Expected: -0.268569	Actual: -0.268569
Output feature[22161]: Expected: -0.494737	Actual: -0.494737
Output feature[22241]: Expected: -0.939575	Actual: -0.939574
Output feature[22321]: Expected: -0.405854	Actual: -0.405854
Output feature[22401]: Expected: -0.152375	Actual: -0.152375
Output feature[22481]: Expected: -0.116595	Actual: -0.116595
Output feature[22561]: Expected: 0.0055116	Actual: 0.00551164
Output feature[22641]: Expected: 0.00970451	Actual: 0.00970453
Output feature[22721]: Expected: -0.541629	Actual: -0.541629
Output feature[22801]: Expected: -0.56355	Actual: -0.56355
Output feature[22881]: Expected: -0.0246871	Actual: -0.0246871
Output feature[22961]: Expected: -0.45632	Actual: -0.45632
Output feature[23041]: Expected: -0.32089	Actual: -0.32089
Output feature[23121]: Expected: -0.39184	Actual: -0.39184
Output feature[23201]: Expected: -0.894745	Actual: -0.894745
Output feature[23281]: Expected: -0.239098	Actual: -0.239098
Output feature[23361]: Expected: -0.581893	Actual: -0.581893
Output feature[23441]: Expected: -1.08834	Actual: -1.08834
Output feature[23521]: Expected: -0.00154866	Actual: -0.00154865
Output feature[23601]: Expected: -0.49656	Actual: -0.49656
Output feature[23681]: Expected: 0.0332406	Actual: 0.0332406
Output feature[23761]: Expected: -0.114289	Actual: -0.114289
Output feature[23841]: Expected: -0.532603	Actual: -0.532603
Output feature[23921]: Expected: -0.493078	Actual: -0.493078
Output feature[24001]: Expected: -0.0594575	Actual: -0.0594575
Output feature[24081]: Expected: -0.825002	Actual: -0.825002
Output feature[24161]: Expected: -0.783457	Actual: -0.783457
Output feature[24241]: Expected: -0.797875	Actual: -0.797875
Output feature[24321]: Expected: -0.408476	Actual: -0.408476
Output feature[24401]: Expected: 0.12608	Actual: 0.12608
Output feature[24481]: Expected: -0.700916	Actual: -0.700916
Output feature[24561]: Expected: 0.105538	Actual: 0.105538
Output feature[24641]: Expected: -0.776522	Actual: -0.776522
Output feature[24721]: Expected: -0.476439	Actual: -0.476439
Output feature[24801]: Expected: -0.392963	Actual: -0.392964
Output feature[24881]: Expected: -0.235883	Actual: -0.235883
Output feature[24961]: Expected: 0.126873	Actual: 0.126873
Output feature[25041]: Expected: -0.228351	Actual: -0.228351
Output feature[25121]: Expected: -0.876523	Actual: -0.876523
Output feature[25201]: Expected: -0.563632	Actual: -0.563632
Output feature[25281]: Expected: -0.893212	Actual: -0.893212
Output feature[25361]: Expected: 0.24183	Actual: 0.24183
Output feature[25441]: Expected: 0.13977	Actual: 0.13977
Output feature[25521]: Expected: -0.210209	Actual: -0.210209
Output feature[25601]: Expected: 0.150403	Actual: 0.150403
Output feature[25681]: Expected: -1.02316	Actual: -1.02316
Output feature[25761]: Expected: -1.11813	Actual: -1.11813
Output feature[25841]: Expected: -0.811885	Actual: -0.811885
Output feature[25921]: Expected: -0.533363	Actual: -0.533363
Output feature[26001]: Expected: -0.172558	Actual: -0.172558
Output feature[26081]: Expected: -0.279293	Actual: -0.279293
Output feature[26161]: Expected: 0.207308	Actual: 0.207308
Output feature[26241]: Expected: -0.681598	Actual: -0.681598
Output feature[26321]: Expected: -0.619191	Actual: -0.619191
Output feature[26401]: Expected: 0.35302	Actual: 0.35302
Output feature[26481]: Expected: -1.11077	Actual: -1.11077
Output feature[26561]: Expected: -0.479837	Actual: -0.479837
Output feature[26641]: Expected: -0.492237	Actual: -0.492237
Output feature[26721]: Expected: -0.854292	Actual: -0.854292
Output feature[26801]: Expected: 0.446173	Actual: 0.446173
Output feature[26881]: Expected: -0.217349	Actual: -0.217349
Output feature[26961]: Expected: -0.544844	Actual: -0.544844
Output feature[27041]: Expected: -0.305688	Actual: -0.305688
Output feature[27121]: Expected: -0.867778	Actual: -0.867778
Output feature[27201]: Expected: -1.16874	Actual: -1.16874
Output feature[27281]: Expected: -0.185154	Actual: -0.185154
Output feature[27361]: Expected: -0.917804	Actual: -0.917804
Output feature[27441]: Expected: 0.240549	Actual: 0.240549
Output feature[27521]: Expected: 0.0470294	Actual: 0.0470294
Output feature[27601]: Expected: 0.0809061	Actual: 0.0809061
Output feature[27681]: Expected: -0.311546	Actual: -0.311546
Output feature[27761]: Expected: -0.273417	Actual: -0.273417
Output feature[27841]: Expected: 0.15448	Actual: 0.15448
Output feature[27921]: Expected: -0.787295	Actual: -0.787295
Output feature[28001]: Expected: -1.23303	Actual: -1.23303
Output feature[28081]: Expected: -1.09026	Actual: -1.09026
Output feature[28161]: Expected: -1.10327	Actual: -1.10327
Output feature[28241]: Expected: -0.349705	Actual: -0.349705
Output feature[28321]: Expected: 0.0203931	Actual: 0.020393
Output feature[28401]: Expected: -0.202919	Actual: -0.202919
Output feature[28481]: Expected: 0.295137	Actual: 0.295137
Output feature[28561]: Expected: 0.0990111	Actual: 0.0990112
Output feature[28641]: Expected: -0.320814	Actual: -0.320814
Output feature[28721]: Expected: -0.610078	Actual: -0.610078
Output feature[28801]: Expected: -0.713553	Actual: -0.713553
Output feature[28881]: Expected: -0.726745	Actual: -0.726745
Output feature[28961]: Expected: -0.816942	Actual: -0.816942
Output feature[29041]: Expected: -0.569714	Actual: -0.569714
Output feature[29121]: Expected: -0.237507	Actual: -0.237507
Output feature[29201]: Expected: -0.3018	Actual: -0.3018
Output feature[29281]: Expected: -0.119623	Actual: -0.119623
Output feature[29361]: Expected: -0.213849	Actual: -0.213849
Output feature[29441]: Expected: -0.696271	Actual: -0.696271
Output feature[29521]: Expected: 0.256366	Actual: 0.256366
Output feature[29601]: Expected: -0.384597	Actual: -0.384597
Output feature[29681]: Expected: -0.296362	Actual: -0.296362
Output feature[29761]: Expected: -0.489289	Actual: -0.489289
Output feature[29841]: Expected: -1.04157	Actual: -1.04157
Output feature[29921]: Expected: -0.751941	Actual: -0.751941
Output feature[30001]: Expected: -0.242192	Actual: -0.242192
Output feature[30081]: Expected: -0.535067	Actual: -0.535067
